rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0293.jpg,117.2,0.5248,0.5955,0.25,0.76,5,2,False,False
77,frame_0296.jpg,118.4,0.5218,0.5626,0.375,0.64,6,3,False,False
78,frame_0299.jpg,119.6,0.521,0.5339,0.5,0.52,6,4,False,False
79,frame_0123.jpg,49.2,0.5202,0.7095,0.125,0.64,5,1,False,False
80,frame_0127.jpg,50.8,0.5186,0.4172,0.5,0.8,6,4,False,False
81,frame_0017.jpg,6.8,0.5184,0.4118,0.375,1.0,6,3,False,False
82,frame_0114.jpg,45.6,0.5182,0.5494,0.625,0.28,6,5,False,False
83,frame_0010.jpg,4.0,0.5169,0.5588,0.125,1.0,2,1,False,False
84,frame_0278.jpg,111.2,0.5163,0.7546,0.25,0.32,7,2,False,False
85,frame_0028.jpg,11.2,0.5152,0.4805,0.25,1.0,3,2,False,False
86,frame_0291.jpg,116.4,0.5106,0.4602,0.375,0.84,7,3,False,False
87,frame_0129.jpg,51.6,0.5076,0.5882,0.125,0.88,5,1,False,False
88,frame_0304.jpg,121.6,0.5073,0.6617,0.375,0.32,7,3,False,False
89,frame_0389.jpg,155.6,0.5042,0.5854,0.625,0.12,7,5,False,False
90,frame_0276.jpg,110.4,0.5041,0.6122,0.5,0.24,8,4,False,False
91,frame_0201.jpg,80.4,0.5037,0.5583,0.375,0.56,4,3,False,False
92,frame_0305.jpg,122.0,0.5013,0.5156,0.625,0.28,6,5,False,False
93,frame_0368.jpg,147.2,0.5011,0.6862,0.5,0.04,9,4,False,False
94,frame_0224.jpg,89.6,0.5009,0.8787,0.125,0.12,3,1,False,False
95,frame_0130.jpg,52.0,0.5008,0.4086,0.375,0.92,5,3,False,False
96,frame_0280.jpg,112.0,0.5004,0.6907,0.25,0.4,6,2,False,False
97,frame_0319.jpg,127.6,0.4992,0.5114,0.625,0.28,9,5,False,False
98,frame_0300.jpg,120.0,0.4985,0.58,0.375,0.48,8,3,False,False
99,frame_0320.jpg,128.0,0.4948,0.7435,0.25,0.24,7,2,False,False
100,frame_0208.jpg,83.2,0.4943,0.6095,0.125,0.76,3,1,False,False
101,frame_0118.jpg,47.2,0.4931,0.5852,0.375,0.44,4,3,False,False
102,frame_0006.jpg,2.4,0.4879,0.4258,0.25,1.0,3,2,False,False
103,frame_0025.jpg,10.0,0.4859,0.5719,0.0,1.0,2,0,False,False
104,frame_0391.jpg,156.4,0.4857,0.6554,0.5,0.04,9,4,False,False
105,frame_0087.jpg,34.8,0.4855,0.629,0.25,0.48,4,2,False,False
106,frame_0287.jpg,114.8,0.4849,0.6228,0.125,0.68,6,1,False,False
107,frame_0398.jpg,159.2,0.4845,0.6481,0.375,0.24,8,3,False,False
108,frame_0333.jpg,133.2,0.4788,0.6255,0.5,0.08,8,4,False,False
109,frame_0397.jpg,158.8,0.477,0.649,0.375,0.2,7,3,False,False
110,frame_0168.jpg,67.2,0.4769,0.5799,0.25,0.56,7,2,False,False
111,frame_0371.jpg,148.4,0.4766,0.6212,0.5,0.08,5,4,False,False
112,frame_0317.jpg,126.8,0.4745,0.5689,0.5,0.2,5,4,False,False
113,frame_0095.jpg,38.0,0.4704,0.6518,0.375,0.16,6,3,False,False
114,frame_0232.jpg,92.8,0.4695,0.634,0.375,0.2,7,3,False,False
115,frame_0097.jpg,38.8,0.468,0.604,0.5,0.08,7,4,False,False
116,frame_0067.jpg,26.8,0.4673,0.3847,0.25,1.0,8,2,False,False
117,frame_0217.jpg,86.8,0.4667,0.5485,0.375,0.4,3,3,False,False
118,frame_0231.jpg,92.4,0.4624,0.5608,0.5,0.16,9,4,False,False
119,frame_0098.jpg,39.2,0.4594,0.6028,0.5,0.04,8,4,False,False
120,frame_0303.jpg,121.2,0.4548,0.5407,0.375,0.36,7,3,False,False
121,frame_0302.jpg,120.8,0.4502,0.5903,0.25,0.4,8,2,False,False
122,frame_0307.jpg,122.8,0.4494,0.5188,0.5,0.2,7,4,False,False
123,frame_0016.jpg,6.4,0.4466,0.3433,0.25,1.0,7,2,False,False
124,frame_0032.jpg,12.8,0.4446,0.3393,0.25,1.0,6,2,False,False
125,frame_0277.jpg,110.8,0.444,0.476,0.5,0.28,7,4,False,False
126,frame_0194.jpg,77.6,0.4434,0.5498,0.375,0.28,4,3,False,False
127,frame_0281.jpg,112.4,0.4418,0.5576,0.25,0.44,4,2,False,False
128,frame_0283.jpg,113.2,0.4413,0.5246,0.25,0.52,6,2,False,False
129,frame_0122.jpg,48.8,0.4411,0.4923,0.25,0.6,4,2,False,False
130,frame_0329.jpg,131.6,0.4406,0.6992,0.25,0.08,8,2,False,False
131,frame_0372.jpg,148.8,0.4404,0.6078,0.375,0.12,8,3,False,False
132,frame_0390.jpg,156.0,0.4399,0.5478,0.5,0.08,8,4,False,False
133,frame_0202.jpg,80.8,0.4383,0.4866,0.25,0.6,5,2,False,False
134,frame_0330.jpg,132.0,0.4378,0.7096,0.25,0.04,8,2,False,False
135,frame_0088.jpg,35.2,0.4377,0.5494,0.25,0.44,4,2,False,False
136,frame_0184.jpg,73.6,0.4355,0.6139,0.375,0.08,5,3,False,False
137,frame_0294.jpg,117.6,0.4354,0.5077,0.125,0.72,5,1,False,False
138,frame_0195.jpg,78.0,0.4345,0.5161,0.375,0.32,5,3,False,False
139,frame_0298.jpg,119.2,0.4345,0.4951,0.25,0.56,6,2,False,False
140,frame_0327.jpg,130.8,0.4336,0.6263,0.375,0.04,8,3,False,False
141,frame_0379.jpg,151.6,0.433,0.6249,0.375,0.04,9,3,False,False
142,frame_0131.jpg,52.4,0.4325,0.406,0.125,0.96,5,1,False,False
143,frame_0012.jpg,4.8,0.4307,0.3114,0.25,1.0,4,2,False,False
144,frame_0386.jpg,154.4,0.4284,0.6859,0.125,0.24,8,1,False,False
145,frame_0308.jpg,123.2,0.4272,0.4904,0.5,0.16,5,4,False,False
146,frame_0115.jpg,46.0,0.4269,0.5008,0.375,0.32,8,3,False,False
147,frame_0068.jpg,27.2,0.4264,0.3779,0.125,1.0,5,1,False,False
148,frame_0105.jpg,42.0,0.4254,0.5939,0.375,0.08,6,3,False,False
149,frame_0200.jpg,80.0,0.4232,0.4884,0.25,0.52,2,2,False,False
150,frame_0185.jpg,74.0,0.4223,0.5876,0.375,0.08,6,3,False,False
151,frame_0089.jpg,35.6,0.4222,0.4594,0.375,0.4,6,3,False,False
152,frame_0383.jpg,153.2,0.4222,0.5713,0.375,0.12,7,3,False,False
153,frame_0121.jpg,48.4,0.422,0.4699,0.25,0.56,4,2,False,False
154,frame_0310.jpg,124.0,0.4215,0.586,0.375,0.08,5,3,False,False
155,frame_0167.jpg,66.8,0.4204,0.3757,0.375,0.6,5,3,False,False
156,frame_0301.jpg,120.4,0.4135,0.426,0.375,0.44,5,3,False,False
157,frame_0119.jpg,47.6,0.4121,0.4822,0.25,0.48,3,2,False,False
158,frame_0183.jpg,73.2,0.4117,0.6573,0.25,0.04,4,2,False,False
159,frame_0174.jpg,69.6,0.4113,0.4696,0.375,0.32,5,3,False,False
160,frame_0020.jpg,8.0,0.4086,0.3422,0.125,1.0,5,1,False,False
161,frame_0023.jpg,9.2,0.4073,0.3395,0.125,1.0,2,1,False,False
162,frame_0370.jpg,148.0,0.4027,0.5644,0.375,0.04,7,3,False,False
163,frame_0081.jpg,32.4,0.4019,0.3658,0.25,0.72,6,2,False,False
